k,delta_reward,t,trials,monte_carlo_error,standard_error,exact_error,absolute_z_score
10,4.0,4.0,120000,1.2785678243867036,0.00265057823881064,1.2795856437168553,0.3839989762416835
10,4.0,8.0,120000,1.0459441781777772,0.0017368056324111568,1.0467135791047018,0.44299771521147785
10,4.0,12.0,120000,1.0002918915697754,0.0014835499679648919,1.0009172526686276,0.42153018931348174
10,4.0,16.0,120000,0.9873185363361878,0.0013824922878928312,0.9878678006090807,0.39730006286697084
10,4.0,24.0,120000,0.9822306454068573,0.0013086074676607114,0.9827091384856267,0.36565057940920276
10,4.0,32.0,120000,0.9829546242051902,0.0012852608155866753,0.9834028621124904,0.3487524881053757
10,4.0,48.0,120000,0.9860175175265828,0.001273158345767043,0.9864411608276819,0.3327498912507813
10,4.0,64.0,120000,0.9884615737914556,0.0012718775338894297,0.9888756711759963,0.32557960456645557
10,4.0,96.0,120000,0.9915318641364774,0.0012740762045535755,0.991938617647873,0.3192536756764503
10,4.0,128.0,120000,0.9933057770569246,0.0012765493531531982,0.9937097750540004,0.3164765984784581
