delta_teacher,delta_reward,s,k,c1,c2,predicted_t,exact_optimal_t,relative_error,exact_error_at_optimum,optimizer_success,high_temperature_eligible,search_lower,search_upper
0.0,3.0,1.0,3,1.0,10.0,6.666666666666668,7.2617497852955,0.08926246779432478,0.9556807331785927,True,False,1.0,512.0
0.0,3.0,1.0,5,1.0,10.0,12.0,11.053286855282213,0.07889276205981555,0.9653773623540574,True,False,1.0,512.0
0.0,3.0,1.0,10,1.0,10.0,16.0,14.00400007362338,0.1247499953985387,0.9694752705188714,True,False,1.0,512.0
0.0,3.0,1.0,50,1.0,10.0,19.2,16.398034714966208,0.14593569192884326,0.9717489545706041,True,False,1.0,512.0
0.0,4.0,1.0,3,1.0,17.0,11.333333333333334,12.201848615544515,0.07663370137157477,0.9730915182107767,True,False,1.0,512.0
0.0,4.0,1.0,5,1.0,17.0,20.4,19.54639170243296,0.0418435439983843,0.9800093019121323,True,True,1.0,512.0
0.0,4.0,1.0,10,1.0,17.0,27.200000000000003,25.237697699370106,0.07214346693492268,0.9826660394682375,True,True,1.0,512.0
0.0,4.0,1.0,50,1.0,17.0,32.64,29.84353098490806,0.08567613404080698,0.9840843550298415,True,True,1.0,512.0
0.0,5.0,1.0,3,1.0,26.0,17.333333333333336,18.37393336653654,0.06003461730018489,0.9819935813713162,True,False,1.0,512.0
0.0,5.0,1.0,5,1.0,26.0,31.2,30.39633470294548,0.025758503110721698,0.9870294507752737,True,True,1.0,512.0
0.0,5.0,1.0,10,1.0,26.0,41.6,39.654692645433585,0.04676219602323117,0.9888530622460181,True,True,1.0,512.0
0.0,5.0,1.0,50,1.0,26.0,49.92,47.126211474785634,0.0559653150083006,0.9898062547112144,True,True,1.0,512.0
0.0,6.0,1.0,3,1.0,37.0,24.666666666666668,25.820596207588252,0.046780927334658884,0.9871429539450713,True,True,1.0,512.0
0.0,6.0,1.0,5,1.0,37.0,44.4,43.62575551344479,0.01743793888637868,0.9909207527792341,True,True,1.0,512.0
0.0,6.0,1.0,10,1.0,37.0,59.2,57.26435307048886,0.032696738674174775,0.9922380405145355,True,True,1.0,512.0
0.0,6.0,1.0,50,1.0,37.0,71.03999999999999,68.24772899389747,0.039305616639956686,0.9929179962282505,True,True,1.0,512.0
