alpha_d_over_n,n_over_d,sigma2,gamma2,sample_covariance_s2,ridge_closed_form,ridge_implicit,ridge_absolute_difference,condition_gamma2_trace_over_sigma2,condition_ridge_over_sigma2,inference_log_slope,training_log_slope_analytic,training_log_slope_finite_difference,slope_absolute_difference,inference_to_training_magnitude_ratio,delta_at_k4096
0.005,200.0,1.0,100.0,1.0,5.025124359264721e-05,5.025124359266033e-05,1.3118846287074604e-17,0.005024871853205204,5.025124359264721e-05,-2.0,-5.074986084733207e-09,-5.080380560684716e-09,5.394475951509476e-12,394089750.5150776,1.8725351461899913e-07
0.01,100.0,1.0,100.0,1.0,0.00010100999795970012,0.0001010099979597052,5.082197683525802e-18,0.010099979597051521,0.00010100999795970012,-2.0,-2.0605874522399972e-08,-2.0605739337042905e-08,1.3518535706690134e-13,97059700.03000191,1.8725351605636185e-07
0.02,50.0,1.0,100.0,1.0,0.00020408078284761544,0.00020408078284759262,2.2822455730819868e-17,0.0204039142379707,0.00020408078284761544,-2.0,-8.49451712848122e-08,-8.494538406011998e-08,2.1277530777363775e-13,23544599.0601892,1.872535219419299e-07
0.04,25.0,1.0,100.0,1.0,0.0004166594361341147,0.0004166594361339453,1.6940658945086007e-16,0.04164859033524661,0.0004166594361341147,-2.0,-3.612131409020777e-07,-3.6121328150784393e-07,1.4060576623153384e-13,5536897.121199103,1.872535466272945e-07
0.08,12.5,1.0,100.0,1.0,0.0008694995328137889,0.000869499532813791,2.0599841277224584e-18,0.08687441601723843,0.0008694995328137889,-2.0,-1.6390174719385443e-06,-1.639008928577823e-06,8.543360721229663e-12,1220243.2458724827,1.8725365546965746e-07
