delta_teacher,reward_misspec,t,k,error,optimal_k,post_optimum_degradation_pct,finite_optimum
0.0,1.0,5.0,64,0.8621783507969479,256,0.0,False
0.0,1.0,5.0,128,0.8616424065048631,256,0.0,False
0.0,1.0,5.0,256,0.8613761811377894,256,0.0,False
0.0,1.0,8.0,1,1.0000000000000024,256,0.0,False
0.0,1.0,8.0,2,0.9395373558657232,256,0.0,False
0.0,1.0,8.0,4,0.918419934152449,256,0.0,False
0.0,1.0,8.0,8,0.9094058910129945,256,0.0,False
0.0,1.0,8.0,16,0.9052222047084828,256,0.0,False
0.0,1.0,8.0,32,0.9032047189377409,256,0.0,False
0.0,1.0,8.0,64,0.9022138271185884,256,0.0,False
0.0,1.0,8.0,128,0.9017227557443015,256,0.0,False
0.0,1.0,8.0,256,0.9014783029036029,256,0.0,False
0.0,1.0,12.0,1,1.0000000000000027,256,0.0,False
0.0,1.0,12.0,2,0.9589618835044625,256,0.0,False
0.0,1.0,12.0,4,0.9428979741885772,256,0.0,False
0.0,1.0,12.0,8,0.9357044447779016,256,0.0,False
0.0,1.0,12.0,16,0.9322919696403086,256,0.0,False
0.0,1.0,12.0,32,0.9306290660646318,256,0.0,False
0.0,1.0,12.0,64,0.9298081284110512,256,0.0,False
0.0,1.0,12.0,128,0.9294002495295925,256,0.0,False
0.0,1.0,12.0,256,0.9291969528316684,256,0.0,False
0.0,1.5,1.0,1,0.9995946994108692,2,24.574621715220736,True
0.0,1.5,1.0,2,0.851471369834888,2,24.574621715220736,True
0.0,1.5,1.0,4,0.9320339155181926,2,24.574621715220736,True
0.0,1.5,1.0,8,0.9999078253049426,2,24.574621715220736,True
0.0,1.5,1.0,16,1.0326372029911814,2,24.574621715220736,True
0.0,1.5,1.0,32,1.0479317305667109,2,24.574621715220736,True
0.0,1.5,1.0,64,1.0553041225485118,2,24.574621715220736,True
0.0,1.5,1.0,128,1.0589237386394388,2,24.574621715220736,True
0.0,1.5,1.0,256,1.0607172379852199,2,24.574621715220736,True
0.0,1.5,2.0,1,0.9999999977550329,2,6.8554013432690075,True
0.0,1.5,2.0,2,0.8571751278135238,2,6.8554013432690075,True
0.0,1.5,2.0,4,0.8730700205837786,2,6.8554013432690075,True
